,OBJECTID,GIS_ID,NAME,ALPHA_CODE,PARK_CODE,LOCATION,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,Shape_Length,Shape_Area,SQUARE,SUFFIX,LOT,SSL,PAR,Zip Code
56,57,Nps_438,Triangle,NACE,875.0,"Virginia Ave., & I St. To 4th & 5th Sts., SE",1,,NPS,122,,92.2091499066421,487.845578696976,0000,,0.0,RES 01220000,,20003
57,58,Nps_416,Marion Park,NACE,823.0,"E st., Between 4th & 6th Sts., SE",1,,NPS,018,Marion Park,406.77801575511705,6167.901899712911,0821,S,0.0,RES 00180000,,20032
58,59,Nps_110,Glover Parkway & Children's Playground,ROCR,836.0,"Massachusetts & Cathedral Aves., NW","6, 7",,NPS,351I,Glover Parkway & Children's Playground,1321.6888230531301,41403.5050548278,,,,RES 0351I000,,20016
59,60,Nps_380, , ,0.0, , ,,NPS,DELETE,,813.3909306390719,46951.167462673606,1128,,804.0,1128    0804,,
60,61,Nps_308,Fort Mahan Park,NACE,885.0,"Benning Rd., Between 42nd & Grant Sts., NE","5, 6",,NPS,475,Fort Mahan Park,1833.1762866897102,143443.11225927802,"5078,5079,5080,5081,5082,5087",,0.0,RES 04750000,,20019
61,62,Nps_243,Triangle,NACE,893.0,"M St. & Maryland Ave., NE",6,,NPS,695,,213.45838104702,1754.23612675175,4465,,0.0,RES 06950000,,20002
62,63,Nps_312,Triangle,NACE,877.0,"Maryland Ave., & F st. East Of 12th St.,, NE",1,,NPS,211,,84.5427222354131,279.344468673019,0000,,0.0,RES 02110000,,20002
63,64,Nps_317,Triangle,NACE,877.0,"Maryland Ave., Between 11th & F Sts., NE",1,,NPS,210,,136.283666116134,714.8413941724741,0000,,0.0,RES 02100000,,20002
64,65,Nps_114,Glover Parkway & Children's Playground,ROCR,836.0,"Massachusetts Ave., NW","7, 10",,NPS,351H,Glover Parkway & Children's Playground,799.1540116293841,22868.0189315216,,,,RES 0351H000,,20008
65,66,Nps_089,Glover Parkway & Children's Playground,ROCR,836.0,"North Of Massachusetts Ave., NW","6, 7",,NPS,351J,Glover Parkway & Children's Playground,2660.8702665208302,90882.63759059561,,,,RES 0351J000,,20008
66,67,Nps_086,Glover Parkway & Children's Playground,ROCR,836.0,"North Of Massachusetts Ave., West Of 39th St., NW","6, 7, 10",,NPS,351K,Glover Parkway & Children's Playground,2904.73070551151,68132.1841610719,,,,RES 0351K000,,20019
67,68,Nps_264,Triangle,NACE,878.0,"Florida Ave., Between 9th & West Virginia Ave. , NE",1,,NPS,281,,70.5801121765057,175.568288641031,0000,,0.0,RES 02810000,,20002
