MLS #,Cat,Status,Address,City,County,Zip,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1002921170,RES,CLS,1700 24th St NE,Washington,"Washington, DC",20002,3,Feb-00,Detached,5/7/14,RE/MAX Town Center (RXTC2),"$399,900 "
1002922162,RES,CLS,609 14th St NE,Washington,"Washington, DC",20002,2,1-Mar,Row/Townhouse,5/22/14,Keller Williams Capital Properties (KWCP1),"$700,000 "
1002923378,RES,CLS,1928 1st St NE,Washington,"Washington, DC",20002,3,1-Jan,Row/Townhouse,5/8/14,EXIT First Realty (EXIT1),"$345,000 "
1002925580,RES,CLS,624 5th St NE,Washington,"Washington, DC",20002,2,Feb-00,Row/Townhouse,5/16/14,Berkshire Hathaway HomeServices PenFed Realty (PFED4),"$837,000 "
1002925774,RES,CLS,147 R St NE #12,Washington,"Washington, DC",20002,2,Jan-00,Unit/Flat/Apartment,5/14/14,Coldwell Banker Residential Brokerage (CBRB106),"$372,000 "
1002925868,RES,CLS,901 D St NE #205,Washington,"Washington, DC",20002,2,1-Feb,Unit/Flat/Apartment,8/1/14,McWilliams/Ballard Inc. (MCWB1),"$899,900 "
1002927796,RES,CLS,605 8th St NE,Washington,"Washington, DC",20002,3,Jan-00,Row/Townhouse,5/20/14,Coldwell Banker Residential Brokerage (CBRB52),"$715,000 "
1002928040,RES,CLS,50 Q St NE #2,Washington,"Washington, DC",20002,3,Mar-00,Row/Townhouse,7/21/14,Golston Real Estate Inc. (GORE1),"$600,000 "
1002928884,RES,CLS,31 Girard St NE,Washington,"Washington, DC",20002,4,1-Mar,Row/Townhouse,5/9/14,Keller Williams Capital Properties (KWCP1),"$717,500 "
1002931228,RES,CLS,432 13th St NE,Washington,"Washington, DC",20002,4,Feb-00,End of Row/Townhouse,6/26/14,Keller Williams Capital Properties (KWCP1),"$640,000 "
1002932328,RES,CLS,1451 A St NE #A,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,5/28/14,Coldwell Banker Residential Brokerage (CBRB52),"$350,000 "
1002934270,RES,CLS,143 11th St NE,Washington,"Washington, DC",20002,6,1-Mar,Row/Townhouse,6/16/14,Coldwell Banker Residential Brokerage (CBRB52),"$1,625,000 "
1002934604,RES,CLS,1132 5th St NE,Washington,"Washington, DC",20002,4,Jan-00,Row/Townhouse,5/23/14,"Signature Executive Realtors, Inc. (SIER1)","$565,000 "
1002934628,RES,CLS,1175 Abbey Pl NE,Washington,"Washington, DC",20002,3,1-Mar,Twin/Semi-Detached,6/13/14,"Washington Fine Properties, LLC (WFP3)","$815,000 "
1002935578,RES,CLS,450 20th St NE,Washington,"Washington, DC",20002,2,Jan-00,,5/16/14,Coldwell Banker Residential Brokerage (CBRB106),"$330,000 "
1002936102,RES,CLS,609 Acker Pl NE,Washington,"Washington, DC",20002,2,1-Jan,Row/Townhouse,5/12/14,RE/MAX Allegiance (RMAX20),"$700,000 "
1002936560,RES,CLS,326 Tennessee Ave NE,Washington,"Washington, DC",20002,3,Jan-00,Row/Townhouse,5/22/14,"Long & Foster Real Estate, Inc. (LNG202)","$500,000 "
1002941318,RES,CLS,621 Orleans Pl NE,Washington,"Washington, DC",20002,3,Feb-00,Row/Townhouse,5/20/14,Berkshire Hathaway HomeServices PenFed Realty (PFED4),"$700,000 "
1002941350,RES,CLS,634 15th St NE,Washington,"Washington, DC",20002,3,Feb-00,Row/Townhouse,6/13/14,Keller Williams Preferred Properties (KWPP1),"$510,000 "
1002941696,RES,CLS,915 3rd St NE #2 Ph,Washington,"Washington, DC",20002,3,Mar-00,Twin/Semi-Detached,4/16/14,Fairfax Realty Elite (FXR4),"$669,000 "
1002942384,RES,CLS,226 S St NE,Washington,"Washington, DC",20002,3,Jan-00,Row/Townhouse,8/1/14,Fairfax Realty Premier (FXR3),"$410,000 "
1002943848,RES,CLS,1262 Owen Pl NE,Washington,"Washington, DC",20002,3,1-Jan,Row/Townhouse,5/23/14,M Squared Real Estate LLC (MSQU1),"$440,000 "
1002944184,RES,CLS,151 11th St NE,Washington,"Washington, DC",20002,4,1-Feb,Row/Townhouse,6/13/14,Keller Williams Capital Properties (KWCP1),"$926,000 "
1002944472,RES,CLS,1515 Constitution Ave NE #2,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,5/23/14,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$332,000 "
1002944974,RES,CLS,419 M St NE,Washington,"Washington, DC",20002,3,Mar-00,Row/Townhouse,5/27/14,Keller Williams Capital Properties (KWCP1),"$755,000 "
1002945598,RES,CLS,923 6th St NE,Washington,"Washington, DC",20002,3,Feb-00,Twin/Semi-Detached,6/16/14,Century 21 New Millennium (CENT2032),"$630,000 "
1002947742,RES,CLS,2625 3rd St NE #104,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,7/2/14,Fairfax Realty Select (FXR1),"$150,000 "
1002947748,RES,CLS,2625 3rd St NE #304,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,5/16/14,Fairfax Realty Select (FXR1),"$170,000 "
1002947756,RES,CLS,170 Todd Pl NE,Washington,"Washington, DC",20002,3,1-Jan,Row/Townhouse,6/2/14,Berkshire Hathaway HomeServices PenFed Realty (PFED4),"$500,000 "
1002948664,RES,CLS,1313 Emerald St NE,Washington,"Washington, DC",20002,3,1-Jan,Row/Townhouse,5/15/14,"Long & Foster Real Estate, Inc. (LNG176)","$630,000 "
1002948762,RES,CLS,1273 Owen Pl NE,Washington,"Washington, DC",20002,3,1-Mar,Row/Townhouse,6/3/14,DCRE RESIDENTIAL LLC (DRESI1),"$561,500 "
1002950346,RES,CLS,1378 C St NE,Washington,"Washington, DC",20002,2,Jan-00,Twin/Semi-Detached,5/22/14,"Long & Foster Real Estate, Inc. (LNG54)","$518,500 "
1002950476,RES,CLS,232 Channing St NE,Washington,"Washington, DC",20002,4,Mar-00,Row/Townhouse,5/29/14,"Long & Foster Real Estate, Inc. (LNG194)","$475,000 "
1002951130,RES,CLS,2035 Gales St NE,Washington,"Washington, DC",20002,2,1-Jan,Row/Townhouse,6/13/14,RE/MAX Allegiance (RMAX20),"$402,300 "
1002951224,RES,CLS,134 Quincy Pl NE,Washington,"Washington, DC",20002,4,1-Mar,Row/Townhouse,5/30/14,Dwell Residential Brokerage (DRB1),"$710,000 "
1002951926,RES,CLS,304 Bryant St NE,Washington,"Washington, DC",20002,2,Feb-00,Row/Townhouse,5/28/14,"Long & Foster Real Estate, Inc. (LNG44)","$463,000 "
1002952654,RES,CLS,1346 D St NE,Washington,"Washington, DC",20002,4,1-Mar,Row/Townhouse,6/3/14,M Squared Real Estate LLC (MSQU1),"$860,900 "
1002953880,RES,CLS,1216 Orren St NE,Washington,"Washington, DC",20002,3,Feb-00,Row/Townhouse,6/7/14,Bennett Realty Solutions (EXBR1),"$415,000 "
1002955368,RES,CLS,431 3rd St NE,Washington,"Washington, DC",20002,3,1-Jan,End of Row/Townhouse,5/21/14,Coldwell Banker Residential Brokerage (CBRB52),"$795,000 "
1002955466,RES,CLS,601 A St NE #2,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,5/30/14,Compass (LNRE1),"$299,000 "
1002955536,RES,CLS,315 12th St NE #302,Washington,"Washington, DC",20002,2,Feb-00,Unit/Flat/Apartment,5/30/14,Coldwell Banker Residential Brokerage (CBRB52),"$560,000 "
1002955574,RES,CLS,900 Maryland Ave NE,Washington,"Washington, DC",20002,5,1-Apr,End of Row/Townhouse,6/26/14,Coldwell Banker Residential Brokerage (CBRB52),"$1,250,000 "
1002956076,RES,CLS,1513 Constitution Ave NE #2,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,5/29/14,"John C. Formant Real Estate, Inc. (JCF1)","$347,000 "
1002957440,RES,CLS,2436 2nd St NE,Washington,"Washington, DC",20002,3,1-Mar,Row/Townhouse,6/6/14,"Capitol Asset, LLC (CPIA1)","$549,000 "
1002957892,RES,CLS,1936 Bennett Pl NE,Washington,"Washington, DC",20002,4,Feb-00,Row/Townhouse,6/13/14,CityDwellers LLC (CDL1),"$385,000 "
1002957954,RES,CLS,629 4th St NE #1,Washington,"Washington, DC",20002,2,1-Jan,Unit/Flat/Apartment,7/8/14,Coldwell Banker Residential Brokerage (CBRB52),"$475,000 "
