Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20020,DCDC421492,RES,CLS,2619 32nd St SE,Washington,"Washington, DC",4,Detached,5/15/19,"Capital Structures Real Estate, LLC. (CSTU1)","$715,000 "
20020,DCDC421196,RES,CLS,2636 Wade Rd SE #3,Washington,"Washington, DC",1,Unit/Flat/Apartment,8/27/19,"SJC Property Solutions, LLC (SJC1)","$47,000 "
20020,DCDC400756,RES,CLS,2334 R St SE,Washington,"Washington, DC",4,Detached,7/30/19,Coldwell Banker Residential Brokerage (CBRB106),"$726,000 "
20020,DCDC420070,RES,CLS,1429 Ridge Pl SE,Washington,"Washington, DC",3,Row/Townhouse,5/8/19,Latitudes LLC (LATD1),"$449,000 "
20020,DCDC421236,RES,CLS,3437 25th St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,5/30/19,District Realty INC (DTRY1),"$369,000 "
20020,DCDC421122,RES,CLS,1428 Howard Rd SE,Washington,"Washington, DC",2,Twin/Semi-Detached,5/31/19,"Long & Foster Real Estate, Inc. (LNG42)","$234,500 "
20020,DCDC420928,RES,CLS,3032 Stanton Rd SE,Washington,"Washington, DC",2,Row/Townhouse,6/17/19,Compass (COMPS1),"$285,000 "
20020,DCDC420310,RES,CLS,3409 25th St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,5/10/19,Fairfax Realty of Tysons (FRX2),"$384,000 "
20020,DCDC420862,RES,CLS,2006 Mississippi Ave SE,Washington,"Washington, DC",3,Row/Townhouse,7/12/19,RE/MAX Excellence Realty (RXER1),"$365,000 "
20020,DCDC420636,RES,CLS,1659 Fort Davis St SE,Washington,"Washington, DC",3,End of Row/Townhouse,5/10/19,Compass (COMPS1),"$412,000 "
20020,DCDC420476,RES,CLS,2009 32nd St SE,Washington,"Washington, DC",3,Detached,5/20/19,"Raj Mahal Properties, LLC. (RAJM1)","$305,000 "
20020,DCDC420462,RES,CLS,2413 18th St SE,Washington,"Washington, DC",4,End of Row/Townhouse,4/25/19,Home Resource Realty-HRR (HMRR1),"$410,000 "
20020,DCDC420458,RES,CLS,4010 Pennsylvania Ave SE,Washington,"Washington, DC",3,Row/Townhouse,6/14/19,RE/MAX United Real Estate (RMXD1),"$370,000 "
20020,DCDC420402,RES,CLS,2212 SE Bryan Pl SE,Washington,"Washington, DC",3,Detached,6/28/19,Fairfax Realty Elite (FXR4),"$355,500 "
